Vessel Name: AS_P10
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	B5	C5	D5	A6	B6	C6	D6
2/1/2023 9:04:00 PM	0	4.077953E+07	2.715111E+07	2.468777E+07	3.351349E+07	3.517005E+07	1.821207E+07	1.68388E+07	2.768301E+07	2.752368E+07	1.702234E+07	1.743113E+07	3.139018E+07	2.584751E+07	1.802243E+07	1.756889E+07	2.272478E+07	2.634351E+07	2.456336E+07	4.057374E+07	5.084424E+07	3.116378E+07	2.952534E+07	5.19839E+07
2/2/2023 1:04:00 AM	4	3.572977E+07	2.64905E+07	2.339909E+07	3.238334E+07	2.370664E+07	1.311877E+07	1.176508E+07	1.913301E+07	1.638725E+07	1.141817E+07	1.184221E+07	1.934638E+07	1.441932E+07	1.028873E+07	1.110073E+07	1.320064E+07	1.320522E+07	1.334839E+07	2.043593E+07	4.633882E+07	2.819991E+07	2.657318E+07	4.908996E+07
2/2/2023 5:04:00 AM	8	3.565656E+07	2.763872E+07	2.431772E+07	3.369262E+07	2.102363E+07	1.175464E+07	1.0659E+07	1.618712E+07	1.402571E+07	9591956	9709857	1.686968E+07	1.244682E+07	8556940	9161928	1.066705E+07	1.097183E+07	1.02488E+07	1.636756E+07	4.932555E+07	2.802493E+07	2.644038E+07	5.023254E+07
2/2/2023 9:04:00 AM	12	3.874556E+07	2.851583E+07	2.488774E+07	3.594468E+07	1.880536E+07	1.015458E+07	9406282	1.499446E+07	1.208072E+07	8265709	8231875	1.392872E+07	1.036254E+07	7120882	7367367	9079836	9029352	8650855	1.390996E+07	5.22344E+07	2.872095E+07	2.704185E+07	5.390569E+07
2/2/2023 1:04:00 PM	16	3.949141E+07	2.940546E+07	2.500098E+07	3.792747E+07	1.673626E+07	9077224	8656844	1.368259E+07	1.071115E+07	7370602	7141849	1.220278E+07	9167815	6257395	6324789	7618278	7825885	7112016	1.208443E+07	5.471427E+07	2.88406E+07	2.646231E+07	5.745454E+07
2/2/2023 5:04:00 PM	20	4.235417E+07	3.131562E+07	2.508785E+07	4.060599E+07	1.676962E+07	8909692	8677852	1.322427E+07	1.021238E+07	6731166	6595193	1.127207E+07	8651236	5725060	6148860	6800467	7275264	6596307	1.044788E+07	5.64551E+07	2.946493E+07	2.699584E+07	5.852465E+07
2/2/2023 9:04:00 PM	24	4.557888E+07	3.216372E+07	2.637503E+07	4.350752E+07	1.654495E+07	9257512	9004716	1.355743E+07	1.011935E+07	6610695	6837693	1.173502E+07	8634122	5864253	6144670	6952597	7338865	6358628	1.031813E+07	5.885139E+07	2.838304E+07	2.707943E+07	6.21128E+07
2/3/2023 1:04:00 AM	28	4.986376E+07	3.45396E+07	2.829515E+07	4.581734E+07	1.741063E+07	9346456	9311590	1.40144E+07	1.073725E+07	7025332	6939692	1.191475E+07	8877435	5991983	6386648	7312544	7424336	6514462	1.059443E+07	6.093468E+07	3.056985E+07	2.770048E+07	6.487639E+07
2/3/2023 5:04:00 AM	32	5.34723E+07	3.895213E+07	3.178364E+07	4.982967E+07	1.892611E+07	1.010351E+07	1.080853E+07	1.53567E+07	1.148585E+07	7385567	7394936	1.294608E+07	9347519	6367851	6638741	7647806	7560668	6710240	1.06925E+07	6.179827E+07	3.122887E+07	2.881645E+07	6.830382E+07
2/3/2023 9:04:00 AM	36	6.01487E+07	4.279439E+07	3.519874E+07	5.375232E+07	2.076365E+07	1.139561E+07	1.172476E+07	1.679416E+07	1.262057E+07	7960676	8131531	1.385946E+07	1.006792E+07	6785260	6901714	8484491	7922513	7047006	1.114472E+07	6.390398E+07	3.382254E+07	2.968879E+07	6.921736E+07
2/3/2023 1:04:00 PM	40	6.602123E+07	4.963424E+07	4.20326E+07	5.786365E+07	2.280353E+07	1.288427E+07	1.381988E+07	1.870799E+07	1.420809E+07	8796597	9180641	1.563463E+07	1.102588E+07	7100301	7480076	9278928	8560180	7707344	1.196163E+07	6.506773E+07	3.48424E+07	3.215733E+07	7.340451E+07
2/3/2023 5:04:00 PM	44	7.124591E+07	5.485253E+07	4.703334E+07	6.109446E+07	2.465262E+07	1.43356E+07	1.498597E+07	1.979358E+07	1.539782E+07	9603639	9803184	1.74148E+07	1.189209E+07	7526776	7782741	9902010	8820268	7961419	1.2754E+07	6.470783E+07	3.58657E+07	3.328408E+07	7.299809E+07
2/3/2023 9:04:00 PM	48	7.712734E+07	6.089034E+07	5.276922E+07	6.610044E+07	2.802227E+07	1.555316E+07	1.655263E+07	2.242052E+07	1.688539E+07	1.040851E+07	1.06827E+07	1.871343E+07	1.253485E+07	7715192	8385521	1.071485E+07	9145156	8423297	1.366267E+07	6.178287E+07	3.611413E+07	3.354887E+07	7.138909E+07
