Vessel Name: AS_P10
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	B5	C5	D5	A6	B6	C6	D6
2/1/2023 9:04:00 PM	0	862820.8	565605.6	536912.3	757620.6	747791.9	451479.4	418947.1	649505.4	679205.4	410163	443128.3	905975.3	642076.6	435104.6	463558.1	557064.6	646209.6	652808.1	2652703	1097783	679331.9	620507.8	1155568
2/2/2023 1:04:00 AM	4	895513.1	624445.2	575412.4	798096.4	777612.9	472256.4	426410.9	689322.4	715512.6	445047.9	478198.9	902692.2	683480.5	464356.7	499435.5	611865.1	709831.9	710229.9	2723142	1211881	759153.4	705980.9	1326061
2/2/2023 5:04:00 AM	8	870111.4	639889.8	587870.4	819031.8	787456.9	491424	461040	702082.4	743540.3	474071.2	514560.8	975169.9	754648.3	496745.4	545262	642755.3	796448.2	753570.3	2615913	1226629	776657.1	717576.2	1297757
2/2/2023 9:04:00 AM	12	859801.9	641204.8	601625.6	803577.3	769098.4	480857.3	468600.9	707071.8	736093.5	484884.9	512930	925684	760711.1	503237.1	530744.6	629575	780224	799389.1	2479158	1097204	727770	700587.6	1179012
2/2/2023 1:04:00 PM	16	840135.8	667489.8	625214.5	812538.5	746323.4	517040.1	475810	697255.3	714047.6	503316.2	540480.4	909438.1	764652.9	518367.7	540532.8	614988.7	769383.9	772021.1	2348823	988977.9	710859.1	692844.6	1081417
2/2/2023 5:04:00 PM	20	843822	730721.6	653082.2	772349.5	825863.5	604307.5	547234.6	751204.8	794327.8	546921.5	584381.3	971159.8	801435.9	579981.6	606185.9	661832.4	784232.9	782379.8	2248726	913026.3	713638.3	691852.6	999375.8
2/2/2023 9:04:00 PM	24	928913.2	810400.5	729266.9	859656.7	937272.2	715253.1	649204.2	853655.2	918563.4	633923.8	677311.4	1079676	905628.8	661516.8	708315.1	783900	884595.1	847286.6	2781635	940610.1	727949.3	699576	1027905
2/3/2023 1:04:00 AM	28	993046.8	927319.4	820662.6	887900.3	1060374	817529.3	712940.9	953884.9	1058485	726490.2	749488.8	1219165	1014177	742040.7	776804.1	894881.6	953287.5	888975	2747040	968727.7	810856.8	748908.4	1061650
2/3/2023 5:04:00 AM	32	1051362	1033747	899683.5	967097.7	1099733	883391.4	826967.6	1043442	1147824	781979.6	815184.2	1346829	1081759	805142.3	843154.9	978498.3	983765.9	940897.9	2347000	1000399	818837.3	789783.6	1093317
2/3/2023 9:04:00 AM	36	1100972	1133659	1010522	1074895	1167947	963011.7	887157.5	1127567	1247685	889172.8	921308.3	1395536	1179624	877815.7	900042.1	1048062	1025616	983776	1763391	1037498	877219.6	846033.4	1088366
2/3/2023 1:04:00 PM	40	1160374	1224511	1131277	1105617	1217852	1010566	980385.2	1152572	1303370	967883.3	996878	1491763	1207304	912531.6	969415.7	1123942	1082624	1001256	1385128	1069405	879611.8	895884.7	1157077
2/3/2023 5:04:00 PM	44	1224131	1334394	1236910	1254008	1311299	1157415	1112247	1245723	1362493	1097271	1081598	1574875	1275838	992889.8	1062308	1228837	1117608	1045357	1440843	1128231	963784.7	989372.3	1205245
2/3/2023 9:04:00 PM	48	1277447	1386288	1342300	1354774	1404702	1247760	1212288	1332011	1424180	1176708	1166350	1633769	1314595	1047366	1139456	1321023	1108888	1047830	1537349	1157282	1072096	1100601	1261143
