Vessel Name: AS_P10
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
2/1/2023 9:04:00 PM	0	31.74501	23.04894	20.82309	27.41427	25.98895	17.26626	14.88471	24.21921	23.8055	16.12601	16.95995	27.36546	23.10629	15.54725	16.64462	21.54318	35.77642	22.85422	22.18732	35.29554	35.87315	24.77543	23.87376	39.41336
2/2/2023 1:04:00 AM	4	39.22094	28.84812	26.48988	33.78316	30.61245	20.56097	17.51835	28.15828	27.4048	19.00768	20.22307	31.15643	27.92882	18.6267	20.02878	25.505	37.89946	25.73055	25.41562	37.55077	39.25037	29.01121	28.21716	43.68534
2/2/2023 5:04:00 AM	8	44.09897	34.70765	30.57017	38.58723	33.67236	23.21991	19.97125	30.44798	28.87337	21.14954	22.4173	33.54914	30.90256	20.18981	22.20927	26.13517	38.96031	26.90146	26.44497	37.92144	41.38139	31.86552	31.89244	47.0508
2/2/2023 9:04:00 AM	12	49.04951	41.55127	36.09958	42.50004	36.44219	24.50988	22.43965	33.74047	30.32177	23.07762	24.66442	35.49453	32.44905	21.99925	23.18587	27.72362	39.62982	27.85207	27.67993	38.19445	44.26083	34.83271	35.12172	50.01172
2/2/2023 1:04:00 PM	16	54.79721	48.78452	42.30054	47.61268	40.37474	28.26644	25.39697	37.29548	33.65985	26.25404	27.12635	38.81042	35.34629	24.38625	25.68346	29.66399	39.97567	28.73909	28.49233	39.21992	47.69283	40.3204	38.80633	53.3424
2/2/2023 5:04:00 PM	20	60.36064	56.46016	48.10334	53.49182	45.7	33.3665	28.90557	42.29928	38.16562	29.34831	30.37605	42.07521	38.04527	26.52583	28.53755	32.33148	42.07671	30.65477	29.35942	40.66806	52.40205	45.32379	45.40929	57.97906
2/2/2023 9:04:00 PM	24	65.85939	62.57135	53.77979	58.14476	51.43357	37.49426	33.87937	46.29063	42.84493	32.81717	33.2099	45.59846	40.75742	29.31791	31.45247	35.36349	43.85187	32.03408	30.60027	42.22732	57.4866	52.37672	50.83927	62.42047
2/3/2023 1:04:00 AM	28	70.80521	67.91774	60.46115	63.68118	55.14076	41.22585	38.30709	52.65805	45.88235	35.74731	35.45151	49.39433	42.69194	31.33609	33.54696	38.22281	44.9844	32.89335	31.92366	43.51998	62.13356	56.38139	54.81502	66.05069
2/3/2023 5:04:00 AM	32	74.92244	73.23405	65.58004	68.36271	60.40736	45.61785	43.55755	57.44357	49.69272	38.33008	37.88687	52.96466	44.91441	33.93831	35.50792	40.70948	46.2564	34.55584	32.99347	44.31298	66.39983	60.84843	60.42023	68.99133
2/3/2023 9:04:00 AM	36	78.46243	76.81821	71.69231	72.10197	64.9576	51.2441	49.42853	62.46214	53.44417	42.19705	41.82428	56.84535	47.18012	35.85643	37.88835	44.67654	48.28587	35.67509	33.73568	45.78896	70.07691	64.89395	64.99945	72.46164
2/3/2023 1:04:00 PM	40	81.76817	79.84664	75.31609	76.01889	69.36921	56.5954	55.2164	67.37054	57.76441	45.73685	45.27978	60.03246	49.73823	38.72182	40.83488	48.2652	51.04188	38.76072	36.45374	48.05674	73.84257	69.18462	69.61972	75.13518
2/3/2023 5:04:00 PM	44	83.56009	82.10515	78.52677	78.88779	72.33801	60.76226	60.55141	71.8579	61.14019	49.96194	48.80959	63.80418	51.85334	41.08945	43.56343	51.32149	52.11488	39.9826	37.96409	49.54765	75.84656	73.11563	71.83158	77.50323
2/3/2023 9:04:00 PM	48	86.03504	84.03282	82.03598	81.7382	74.84249	64.68851	64.70757	74.78228	64.31511	53.66185	53.30917	66.84966	53.90742	44.42121	46.467	54.22839	53.83585	42.02006	39.4656	51.07521	78.59755	75.97396	75.64253	79.09209
