Vessel Name: AS_P25
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	B6	C6	D6
2/11/2023 7:00:00 PM	0	3.368658E+07	2.877428E+07	2.966887E+07	3.140201E+07	2.086897E+07	1.6694E+07	2.210279E+07	2.487973E+07	2.197164E+07	1.763227E+07	1.830777E+07	2.088622E+07	2.085752E+07	1.783463E+07	1.785737E+07	2.025441E+07	2.570129E+07	1.692444E+07	1.813373E+07	2.317377E+07	2.186188E+07	2.102707E+07	3.228437E+07
2/11/2023 8:00:00 PM	1	3.900398E+07	3.053495E+07	3.267352E+07	3.378734E+07	2.391772E+07	1.81179E+07	2.352956E+07	2.679281E+07	2.427726E+07	1.844858E+07	1.980847E+07	2.211533E+07	2.290244E+07	1.960127E+07	1.834739E+07	2.153699E+07	2.834708E+07	1.868487E+07	1.897888E+07	2.459609E+07	2.359193E+07	2.264134E+07	3.581266E+07
2/11/2023 9:00:00 PM	2	3.582895E+07	2.883374E+07	3.146837E+07	3.216771E+07	2.208052E+07	1.604547E+07	2.201413E+07	2.544996E+07	2.236383E+07	1.686526E+07	1.856545E+07	2.077529E+07	2.122923E+07	1.799572E+07	1.64733E+07	1.977091E+07	2.644236E+07	1.742767E+07	1.799703E+07	2.350564E+07	2.238312E+07	2.136845E+07	3.39782E+07
2/11/2023 10:00:00 PM	3	3.281886E+07	2.586194E+07	2.7763E+07	2.945645E+07	2.136601E+07	1.595535E+07	2.195084E+07	2.535403E+07	2.201919E+07	1.691871E+07	1.777724E+07	2.050663E+07	1.870792E+07	1.619658E+07	1.389175E+07	1.680587E+07	2.57706E+07	1.695855E+07	1.736308E+07	2.332557E+07	2.206563E+07	2.069902E+07	3.37525E+07
2/11/2023 11:00:00 PM	4	2.715013E+07	2.028095E+07	2.117693E+07	2.196082E+07	2.0863E+07	1.582258E+07	2.184374E+07	2.535148E+07	2.213454E+07	1.684377E+07	1.774684E+07	2.074435E+07	1.424398E+07	1.259881E+07	1.062105E+07	1.225518E+07	2.55993E+07	1.681544E+07	1.717407E+07	2.332716E+07	2.223165E+07	2.106826E+07	3.354508E+07
2/12/2023 12:00:00 AM	5	2.006489E+07	1.564884E+07	1.592545E+07	1.698762E+07	2.103108E+07	1.600179E+07	2.184725E+07	2.544849E+07	2.216019E+07	1.67153E+07	1.756281E+07	2.107036E+07	1.054837E+07	9440835	7681669	9209846	2.565128E+07	1.687633E+07	1.742813E+07	2.337592E+07	2.281348E+07	2.110024E+07	3.400346E+07
2/12/2023 1:00:00 AM	6	1.496489E+07	1.23629E+07	1.23723E+07	1.321844E+07	2.13582E+07	1.61125E+07	2.210686E+07	2.553859E+07	2.248813E+07	1.702766E+07	1.771472E+07	2.130403E+07	7967570	7395317	6006552	7034597	2.574135E+07	1.644923E+07	1.74472E+07	2.348113E+07	2.301885E+07	2.177316E+07	3.399414E+07
2/12/2023 2:00:00 AM	7	1.216302E+07	1.002044E+07	1.01935E+07	1.062578E+07	2.157197E+07	1.632775E+07	2.212842E+07	2.551716E+07	2.279496E+07	1.729279E+07	1.815029E+07	2.157251E+07	6544076	5932268	4910389	5649400	2.623971E+07	1.672789E+07	1.772751E+07	2.359907E+07	2.325312E+07	2.203888E+07	3.4961E+07
2/12/2023 4:00:00 AM	9	8162438	7100117	7074277	7388294	2.218158E+07	1.64544E+07	2.309706E+07	2.681612E+07	2.316707E+07	1.76501E+07	1.872623E+07	2.214774E+07	4398258	3998495	3278805	3806364	2.660358E+07	1.663134E+07	1.797615E+07	2.390755E+07	2.431979E+07	2.377411E+07	3.61302E+07
2/12/2023 6:00:00 AM	11	5685101	4806759	5180509	5348589	2.218501E+07	1.653104E+07	2.292933E+07	2.742198E+07	2.412253E+07	1.83534E+07	1.953408E+07	2.325361E+07	3099799	2766098	2359004	2713497	2.732354E+07	1.683619E+07	1.790114E+07	2.428919E+07	2.503833E+07	2.42739E+07	3.70503E+07
2/12/2023 8:00:00 AM	13	4063701	3811988	3787472	4009801	2.181598E+07	1.658898E+07	2.394648E+07	2.760474E+07	2.437371E+07	1.87371E+07	1.972794E+07	2.398912E+07	2331474	2133878	1802610	2092043	2.830073E+07	1.668345E+07	1.810968E+07	2.447045E+07	2.597022E+07	2.510098E+07	3.800442E+07
2/12/2023 10:00:00 AM	15	3098317	2895645	2932677	3129395	2.149204E+07	1.61074E+07	2.403649E+07	2.765189E+07	2.502829E+07	1.874056E+07	1.969613E+07	2.419919E+07	1840941	1775303	1462929	1684233	2.818826E+07	1.641174E+07	1.739612E+07	2.429147E+07	2.686396E+07	2.607448E+07	3.924351E+07
2/12/2023 12:00:00 PM	17	2462640	2395453	2504542	2671374	2.089702E+07	1.591721E+07	2.383972E+07	2.695367E+07	2.612326E+07	1.927111E+07	2.06775E+07	2.579776E+07	1582157	1635098	1223649	1509521	2.756156E+07	1.563949E+07	1.676885E+07	2.326708E+07	2.793532E+07	2.818689E+07	4.013359E+07
2/12/2023 2:00:00 PM	19	2195957	2038599	2163806	2318748	1.994071E+07	1.489519E+07	2.385297E+07	2.579726E+07	2.718374E+07	2.005073E+07	2.120118E+07	2.700412E+07	1423251	1494312	1143435	1335169	2.630398E+07	1.501939E+07	1.629334E+07	2.237602E+07	2.92206E+07	2.897145E+07	4.11133E+07
