Vessel Name: AS_P25
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	B6	C6	D6
2/11/2023 7:00:00 PM	0	6491191	5825646	5938314	6180981	4360386	3352086	4453325	5359922	4493124	3545584	3809177	4534883	4102555	3486900	3883270	4186177	5349771	3529644	3826271	4685644	4582983	4353275	6521104
2/11/2023 8:00:00 PM	1	7337011	6158992	6671193	6779894	4980392	3628292	4858676	5818245	4992647	3761369	4017091	4943690	4491066	3790747	4125377	4545254	5884591	3857480	4028121	5076574	4900555	4854682	7263647
2/11/2023 9:00:00 PM	2	7330377	6258508	6815274	6939193	5023004	3521264	4949119	6007911	5067852	3770235	4061822	5028406	4485144	3792412	4141288	4639855	6055258	3937279	4252324	5206111	5002825	5064043	7547578
2/11/2023 10:00:00 PM	3	7396577	6396054	6898747	7146571	5105924	3648163	5133597	6224881	5213153	3950830	4211778	5210183	4557132	3903017	4150584	4672272	6106388	4028579	4318894	5457841	5201484	5124082	7868836
2/11/2023 11:00:00 PM	4	7687349	6474131	6934212	7036527	5258908	3763329	5317052	6549609	5413876	4071976	4390473	5461366	4641557	3987271	4253419	4647252	6266821	4234436	4488515	5682425	5387029	5331301	8064654
2/12/2023 12:00:00 AM	5	7852685	6611229	7210126	7474270	5524072	3983898	5639615	6927478	5674163	4274764	4640484	5784351	4738474	4044771	4252844	4910549	6539424	4392319	4711198	5985893	5735440	5592434	8492325
2/12/2023 1:00:00 AM	6	8095608	6924887	7558633	7787235	6056423	4266258	6142821	7423448	6190357	4589763	4961102	6175134	4972087	4192353	4453232	5037429	6989116	4607831	5017609	6400957	6197483	6049015	9010616
2/12/2023 2:00:00 AM	7	8687031	7423329	8094799	8243349	6560342	4702674	6653108	8024864	6742162	5028931	5457480	6721508	5441631	4564881	4842475	5303988	7651596	5141734	5511607	6922792	6717486	6526303	9853664
2/12/2023 4:00:00 AM	9	1.016307E+07	8837551	9615751	9662683	7776341	5740701	7944361	9550043	7901443	6003663	6512975	7819546	6475527	5457375	5732935	6389622	8883862	5703477	6477695	7976886	7794051	7587711	1.138172E+07
2/12/2023 6:00:00 AM	11	1.208286E+07	1.040764E+07	1.146883E+07	1.143158E+07	8915049	6598712	8897354	1.087109E+07	9159307	6935037	7581576	9010296	7673245	6529014	6882007	7534858	1.015109E+07	6516119	7364841	9184231	8701649	8530692	1.276746E+07
2/12/2023 8:00:00 AM	13	1.376972E+07	1.235783E+07	1.298859E+07	1.305974E+07	9827254	7374771	1.017318E+07	1.192309E+07	9799298	7573619	8321053	9786691	8837432	7586043	7978059	8765268	1.124777E+07	6967972	8171643	1.013398E+07	9395099	9432570	1.365597E+07
2/12/2023 10:00:00 AM	15	1.501299E+07	1.359885E+07	1.420294E+07	1.450421E+07	1.034447E+07	7731245	1.08478E+07	1.260407E+07	1.034272E+07	7967289	8624292	1.022123E+07	9631035	8364808	8852270	9742724	1.181531E+07	7477511	8548909	1.067837E+07	9918929	9835092	1.449394E+07
2/12/2023 12:00:00 PM	17	1.603959E+07	1.454631E+07	1.508944E+07	1.552018E+07	1.096491E+07	8206234	1.11169E+07	1.283639E+07	1.089792E+07	8323560	8854975	1.080506E+07	1.04595E+07	8826957	9189767	1.022133E+07	1.211455E+07	7783547	8866412	1.105298E+07	1.021058E+07	1.030671E+07	1.492325E+07
2/12/2023 2:00:00 PM	19	1.704428E+07	1.527686E+07	1.574123E+07	1.637101E+07	1.107975E+07	8356967	1.144367E+07	1.296599E+07	1.10375E+07	8606380	9136703	1.121542E+07	1.089493E+07	9301165	9640618	1.066538E+07	1.239489E+07	7974645	9053858	1.137461E+07	1.024715E+07	1.048355E+07	1.533022E+07
2/12/2023 4:00:00 PM	21	1.779199E+07	1.591591E+07	1.632637E+07	1.709024E+07	1.112586E+07	8519973	1.132435E+07	1.297004E+07	1.127626E+07	8738798	9042652	1.128607E+07	1.10704E+07	9628262	9697242	1.081254E+07	1.283382E+07	8212919	9174249	1.154327E+07	1.058162E+07	1.061793E+07	1.601334E+07
2/12/2023 6:00:00 PM	23	1.814965E+07	1.636015E+07	1.712539E+07	1.793247E+07	1.122888E+07	8587096	1.136813E+07	1.296802E+07	1.13311E+07	8963354	9047844	1.136389E+07	1.12957E+07	1.002039E+07	9990220	1.117471E+07	1.320262E+07	8216077	9407993	1.158423E+07	1.073419E+07	1.085818E+07	1.614652E+07
2/12/2023 8:00:00 PM	25	1.858953E+07	1.678483E+07	1.732521E+07	1.819793E+07	1.120365E+07	8434950	1.131755E+07	1.273132E+07	1.133614E+07	8886845	8979089	1.135489E+07	1.134024E+07	9753306	9942725	1.097113E+07	1.320741E+07	8380531	9272606	1.172125E+07	1.085951E+07	1.096554E+07	1.614609E+07
2/12/2023 9:00:00 PM	26	1.879241E+07	1.699974E+07	1.749591E+07	1.824041E+07	1.128875E+07	8702272	1.14003E+07	1.283896E+07	1.131654E+07	8830945	8999353	1.140184E+07	1.116685E+07	9863953	1.001978E+07	1.097001E+07	1.31463E+07	8552327	9473153	1.172293E+07	1.088844E+07	1.10634E+07	1.61549E+07
2/12/2023 10:00:00 PM	27	1.887106E+07	1.706913E+07	1.772483E+07	1.836238E+07	1.112329E+07	8746756	1.133314E+07	1.288041E+07	1.125468E+07	8796843	9001082	1.132931E+07	1.105414E+07	9754208	9960304	1.092322E+07	1.305267E+07	8610281	9520790	1.185991E+07	1.084638E+07	1.115491E+07	1.592467E+07
2/12/2023 11:00:00 PM	28	1.889259E+07	1.723402E+07	1.797981E+07	1.863723E+07	1.120253E+07	8787694	1.129046E+07	1.301641E+07	1.14729E+07	8793716	8874530	1.1375E+07	1.10203E+07	9907505	9932347	1.105237E+07	1.324728E+07	8762342	9597546	1.18669E+07	1.094554E+07	1.10704E+07	1.588977E+07
2/13/2023 12:00:00 AM	29	1.903635E+07	1.731264E+07	1.826901E+07	1.850181E+07	1.126268E+07	8745968	1.123965E+07	1.283948E+07	1.126988E+07	8886188	8876615	1.13419E+07	1.092574E+07	9855664	9959301	1.085887E+07	1.330923E+07	8809212	9587863	1.208305E+07	1.096317E+07	1.113183E+07	1.595646E+07
2/13/2023 1:00:00 AM	30	1.918589E+07	1.722172E+07	1.836876E+07	1.841557E+07	1.142492E+07	8808633	1.113591E+07	1.292038E+07	1.133144E+07	8949416	8949392	1.142711E+07	1.076983E+07	9788728	1.007352E+07	1.075523E+07	1.329295E+07	8943916	9661536	1.211054E+07	1.100169E+07	1.134108E+07	1.597739E+07
2/13/2023 2:00:00 AM	31	1.935946E+07	1.720647E+07	1.779909E+07	1.837162E+07	1.180493E+07	8777420	1.116372E+07	1.30397E+07	1.117058E+07	8973496	9112345	1.145838E+07	1.051687E+07	9574522	9885842	1.081189E+07	1.336578E+07	8988714	9636997	1.214518E+07	1.107109E+07	1.141687E+07	1.596075E+07
2/13/2023 4:00:00 AM	33	1.936014E+07	1.71301E+07	1.759841E+07	1.824014E+07	1.21171E+07	8760958	1.139781E+07	1.319448E+07	1.134854E+07	9027584	9324278	1.171741E+07	1.010655E+07	9360242	9601989	1.060759E+07	1.353465E+07	9153025	9718470	1.225007E+07	1.132581E+07	1.161545E+07	1.625884E+07
2/13/2023 6:00:00 AM	35	1.93431E+07	1.710239E+07	1.725088E+07	1.835126E+07	1.253883E+07	8703123	1.168108E+07	1.352547E+07	1.158578E+07	9114182	9402482	1.172439E+07	1.007201E+07	9221477	9269589	1.065871E+07	1.373782E+07	9477583	9972882	1.249372E+07	1.15182E+07	1.182611E+07	1.648861E+07
2/13/2023 8:00:00 AM	37	1.937155E+07	1.685795E+07	1.707598E+07	1.841995E+07	1.30417E+07	9200826	1.201287E+07	1.380967E+07	1.180727E+07	9344594	9769095	1.192022E+07	9956978	8971629	9192045	1.066741E+07	1.405018E+07	9603814	1.021779E+07	1.277869E+07	1.17182E+07	1.21045E+07	1.667214E+07
2/13/2023 10:00:00 AM	39	1.89683E+07	1.639894E+07	1.670021E+07	1.813241E+07	1.342122E+07	9481421	1.25357E+07	1.410914E+07	1.20117E+07	9459965	9933819	1.225396E+07	9698142	8804442	9020894	1.038052E+07	1.419442E+07	9675253	1.04965E+07	1.310184E+07	1.20225E+07	1.231175E+07	1.708016E+07
2/13/2023 12:00:00 PM	41	1.864511E+07	1.630557E+07	1.650561E+07	1.794673E+07	1.346618E+07	9779587	1.303248E+07	1.450636E+07	1.226137E+07	9806896	1.026831E+07	1.265046E+07	9587645	8677890	8483875	1.000861E+07	1.449637E+07	1.002994E+07	1.072745E+07	1.341589E+07	1.253116E+07	1.268717E+07	1.751879E+07
2/13/2023 4:00:00 PM	45	1.764781E+07	1.574829E+07	1.674956E+07	1.686158E+07	1.390586E+07	1.064767E+07	1.360487E+07	1.589406E+07	1.345952E+07	1.055838E+07	1.061311E+07	1.350903E+07	9835403	8187621	8023774	9877754	1.514702E+07	1.054818E+07	1.132078E+07	1.448182E+07	1.350619E+07	1.341127E+07	1.905565E+07
