Vessel Name: AS_P26
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
8/18/2023 12:36:00 PM	0	4.061125	3.591875	3.636053	3.663587	3.926926	3.884189	3.692164	3.689039	4.039513	3.885696	3.59921	3.783351	3.907147	3.638912	3.793022	3.67249	3.918936	3.852904	3.921908	3.813839	3.741073	3.7612	3.688024	3.678155
8/18/2023 1:45:00 PM	1.15	4.170844	3.497648	3.538255	3.588722	4.258845	3.776281	3.822839	3.751449	4.226774	3.817092	3.737445	3.818368	4.010498	3.771472	3.607712	3.716254	3.767329	3.686785	3.582801	3.808257	3.734559	3.686145	3.55393	3.534576
8/18/2023 2:30:00 PM	1.9	3.568432	3.291998	3.376817	3.419682	3.816897	3.682088	3.649414	3.654956	3.993596	3.794254	3.654048	3.784606	3.949255	3.694138	3.82097	3.68521	3.851063	3.875666	3.864913	3.840276	3.707724	3.737584	3.716119	3.679888
8/18/2023 3:25:00 PM	2.81666666666667	3.341963	3.161502	3.242827	3.291494	3.579287	3.499774	3.53429	3.550583	3.76772	3.623034	3.504973	3.611101	3.647413	3.490841	3.555835	3.527783	3.618679	3.603215	3.632165	3.661066	3.540125	3.582487	3.554737	3.542463
8/18/2023 4:20:00 PM	3.73333333333333	3.368046	3.13339	3.179466	3.239846	3.552189	3.409702	3.432699	3.451908	3.705837	3.563876	3.383741	3.487577	3.613388	3.448972	3.518546	3.465893	3.554082	3.547569	3.539935	3.5547	3.549757	3.566466	3.439703	3.461128
8/18/2023 5:40:00 PM	5.06666666666667	3.311118	3.095694	3.132915	3.167303	3.320695	3.188923	3.229292	3.287777	3.430254	3.1049	3.089603	3.169972	3.315722	3.177506	3.2007	3.091968	3.232252	3.182751	3.237204	3.183161	3.182079	3.258819	3.096802	3.097586
8/18/2023 6:30:00 PM	5.9	3.243533	3.04406	3.09815	3.136432	3.284863	3.16287	3.226765	3.291312	2.770588	2.440947	2.457671	2.510369	2.680892	2.618276	2.613666	2.472538	2.598707	2.592081	2.657365	2.565855	2.596967	2.662871	2.53842	2.546112
8/18/2023 7:20:00 PM	6.73333333333333	3.121187	2.942799	3.015556	3.060827	3.141784	3.018961	3.095088	3.162938	2.074813	1.813942	1.843723	1.858448	1.996534	1.964411	1.927491	1.859747	1.916934	1.951244	2.002747	1.913007	1.941293	1.997904	1.918442	1.879936
8/18/2023 8:20:00 PM	7.73333333333333	3.232744	2.943665	3.018823	3.094481	3.150877	2.969831	3.014621	3.0775	2.654185	2.588974	2.513968	2.606868	1.762411	1.706378	1.713539	1.615016	1.679995	1.736215	1.786908	1.683476	1.716587	1.752795	1.70629	1.672204
8/18/2023 9:40:00 PM	9.06666666666667	3.018889	2.827193	2.878366	2.945235	2.806647	2.689868	2.72097	2.756583	2.492176	2.441051	2.381559	2.454896	1.035985	0.9816426	0.9914285	0.9472588	0.9794298	1.020572	1.046944	1.002726	1.029671	1.054931	1.03656	1.006733
8/18/2023 10:20:00 PM	9.73333333333333	2.950857	2.781815	2.823144	2.904704	2.688644	2.600609	2.622895	2.684644	2.407542	2.356048	2.285737	2.346458	0.814725	0.7632335	0.7713924	0.7492067	0.7787017	0.802085	0.8226979	0.7937104	0.8144171	0.8339802	0.8201472	0.7964872
8/18/2023 11:20:00 PM	10.7333333333333	3.082767	2.818478	2.881927	2.970992	2.751329	2.590557	2.639798	2.692009	2.364622	2.272304	2.203724	2.303308	1.466009	1.414332	1.409421	1.422067	0.686025	0.6951514	0.7326483	0.6893098	0.7280029	0.7367606	0.716794	0.7038532
8/19/2023 12:10:00 AM	11.5666666666667	2.898422	2.745802	2.77122	2.868434	2.622953	2.510498	2.553122	2.623773	2.160496	2.116293	2.046406	2.14246	1.426774	1.386363	1.377081	1.389829	0.4997334	0.5084049	0.5274583	0.502676	0.5287992	0.5428888	0.528172	0.5214121
8/19/2023 1:20:00 AM	12.7333333333333	2.906021	2.74372	2.769147	2.877932	2.608217	2.511026	2.551725	2.645831	2.103413	2.067455	1.994386	2.067881	1.476933	1.412195	1.407924	1.425531	0.3663738	0.3732279	0.3798833	0.3638851	0.3914099	0.4033041	0.3935257	0.3843581
8/19/2023 2:40:00 AM	14.0666666666667	2.978176	2.802447	2.844789	2.941292	2.706745	2.636567	2.636323	2.721216	2.161138	2.143884	2.059129	2.141725	1.540936	1.468162	1.490997	1.460216	0.8692813	0.8504504	0.8820911	0.8460231	0.3315229	0.3478242	0.3374009	0.3262193
8/19/2023 4:30:00 AM	15.9	2.88007	2.772952	2.833107	2.938353	2.697418	2.681134	2.688026	2.737708	2.215315	2.216137	2.115309	2.199298	1.534649	1.457997	1.495919	1.484441	1.029613	0.982773	1.02543	1.019796	0.2199055	0.2310268	0.2294689	0.2181311
8/19/2023 6:20:00 AM	17.7333333333333	2.961349	2.803863	2.88838	2.966367	2.837477	2.799027	2.7895	2.899649	2.364922	2.374674	2.274592	2.384263	1.698851	1.612249	1.649215	1.638948	1.186894	1.136179	1.163451	1.158718	0.1762515	0.1841884	0.1821004	0.1745899
8/19/2023 8:00:00 AM	19.4	2.996775	2.859029	2.962704	3.028009	2.901223	2.901773	2.897345	3.043177	2.503473	2.550515	2.444901	2.549577	1.865552	1.779264	1.794504	1.801711	1.328136	1.25908	1.297061	1.28862	0.1502562	0.1560889	0.1572757	0.151821
8/19/2023 9:40:00 AM	21.0666666666667	3.072382	2.910893	3.011688	3.065113	3.068857	3.069293	3.062793	3.176496	2.731025	2.776756	2.651752	2.771883	2.088362	1.992331	2.023111	2.00298	1.518578	1.431901	1.484616	1.459753	0.1378937	0.1419186	0.1444527	0.1397579
8/19/2023 11:20:00 AM	22.7333333333333	3.032679	2.93628	3.007465	3.110758	3.128124	3.113768	3.149838	3.286805	2.884672	2.950799	2.811834	2.943826	2.270139	2.156608	2.200094	2.182797	1.695412	1.593708	1.640368	1.638915	0.1236152	0.1273284	0.1294213	0.1240367
8/19/2023 12:40:00 PM	24.0666666666667	3.076308	2.998875	3.05374	3.124562	3.194411	3.16065	3.216688	3.3495	3.048558	3.117247	2.972811	3.110296	2.465362	2.348474	2.403273	2.387174	1.875385	1.764179	1.796737	1.806497	0.1229966	0.1245945	0.1279034	0.1211663
8/19/2023 2:40:00 PM	26.0666666666667	3.247524	3.119943	3.264407	3.284657	3.414897	3.293255	3.34579	3.531981	3.314393	3.352524	3.232776	3.392462	2.810635	2.705591	2.78261	2.730206	2.189173	2.0586	2.102449	2.127074	0.1193855	0.1220996	0.126778	0.123967
8/19/2023 4:40:00 PM	28.0666666666667	3.235393	3.154662	3.262613	3.287797	3.422209	3.330372	3.452875	3.496634	3.467931	3.486905	3.326846	3.543919	3.102791	2.997548	3.058965	3.049093	2.495004	2.351196	2.406605	2.467929	0.1225583	0.1261991	0.1325069	0.1276656
8/19/2023 6:20:00 PM	29.7333333333333	3.280882	3.139487	3.255716	3.251001	3.459729	3.309657	3.373203	3.487425	3.564427	3.596539	3.432718	3.635967	3.278021	3.19495	3.237399	3.224314	2.764061	2.614935	2.670542	2.752633	0.1247095	0.1258432	0.1310129	0.1278339
8/19/2023 8:20:00 PM	31.7333333333333	3.343482	3.210078	3.302315	3.446443	3.478873	3.352653	3.370803	3.495733	3.638039	3.718491	3.519751	3.720598	3.458441	3.382184	3.427852	3.432027	3.110966	2.935621	2.99306	3.075595	0.1273141	0.1287787	0.1328502	0.1294456
8/19/2023 10:20:00 PM	33.7333333333333	3.453728	3.342021	3.315064	3.455541	3.551553	3.374688	3.422342	3.5858	3.69471	3.69196	3.553208	3.831955	3.619376	3.526621	3.577247	3.539024	3.384249	3.224809	3.305643	3.362189	0.1328176	0.1339587	0.1379563	0.1351067
8/19/2023 11:20:00 PM	34.7333333333333	3.435064	3.326131	3.282941	3.447778	3.529943	3.343622	3.417479	3.580082	3.659068	3.646253	3.5389	3.795566	3.651495	3.50933	3.587003	3.572127	3.480941	3.300034	3.388482	3.462465	0.13219	0.1334343	0.1387462	0.1343951
