Vessel Name: AS_P30
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5
9/11/2023 12:15:00 PM	0	31.36329	31.95441	32.16082	32.96532	32.14405	32.29621	31.27976	30.59012	34.46658	32.46297	31.79274	31.64792	32.30332	33.22624	33.83238	32.70138	32.66475	32.04496	32.90912	31.79424
9/11/2023 2:25:00 PM	2.16666666666667	31.2283	31.50344	31.71669	31.39592	28.41167	27.90624	26.83529	27.33115	30.29268	28.02105	27.2562	28.07195	28.21611	29.27658	29.14977	29.61788	29.73848	28.00994	28.8418	28.25831
9/11/2023 6:25:00 PM	6.16666666666667	28.00696	28.99787	28.65604	28.43749	24.35234	23.22144	22.91102	23.01364	25.18466	23.3703	22.67509	24.33292	23.25961	24.15305	24.09705	25.27688	24.9964	23.98402	23.63821	23.77428
9/11/2023 10:25:00 PM	10.1666666666667	26.81851	28.74394	28.68745	27.51263	19.92133	19.15737	19.25907	19.83069	20.70582	19.55398	18.7369	20.50239	19.6604	19.82201	19.8186	21.42378	21.28852	19.96563	19.57013	20.33974
9/12/2023 2:25:00 AM	14.1666666666667	28.14412	30.20431	29.49252	29.09328	17.17358	17.13061	17.1656	17.81426	18.4002	17.27283	16.36871	17.74956	17.48859	17.54407	17.27297	19.1538	18.97423	17.51432	17.56612	18.18567
9/12/2023 6:25:00 AM	18.1666666666667	31.39156	33.22983	31.42739	31.77981	15.87484	15.6036	15.78684	17.05481	17.45496	16.07693	15.28511	17.22182	16.23129	16.27375	16.44823	18.10477	17.99762	16.52485	16.71349	17.69163
9/12/2023 10:25:00 AM	22.1666666666667	36.36835	37.45237	34.79982	37.17945	15.51846	15.46412	15.041	16.37869	17.24688	15.58742	14.75921	16.33428	15.57606	15.3195	15.7448	17.29635	17.9711	15.78446	16.01563	17.3498
9/12/2023 2:25:00 PM	26.1666666666667	44.01349	43.21292	39.6504	46.40429	15.97746	16.11222	15.26252	16.57442	20.20864	18.98976	17.68893	19.4153	20.57375	20.3989	20.495	22.10815	25.36771	22.58454	23.20228	25.01075
9/12/2023 6:25:00 PM	30.1666666666667	49.28259	45.94778	42.576	52.00636	15.82847	15.60848	14.80215	16.53213	20.30688	19.61518	18.29915	20.12127	22.16371	21.59847	21.73725	23.72055	27.65557	24.44798	25.09243	27.09316
9/12/2023 10:25:00 PM	34.1666666666667	55.54833	49.87782	48.94809	57.91683	16.21927	15.34673	15.2424	16.50569	20.78839	19.58401	18.63088	20.81078	23.16125	21.78749	22.3121	24.81886	28.57609	25.21092	26.19993	27.69981
9/13/2023 2:25:00 AM	38.1666666666667	62.41304	54.29926	55.03344	64.87584	16.42056	15.51253	15.5395	16.7649	21.12011	19.78517	18.77072	20.4444	23.68096	22.25093	22.88646	26.04809	29.98806	26.67714	26.93924	29.3106
9/13/2023 6:25:00 AM	42.1666666666667	71.45627	54.91882	59.93504	68.85683	16.73239	15.19743	15.88881	16.6472	21.58221	20.1476	19.86259	20.67715	25.51937	23.72993	25.13509	27.63775	34.50041	28.2541	29.6099	32.22046
9/13/2023 10:25:00 AM	46.1666666666667	73.17287	58.18502	63.81498	72.39649	16.49166	15.23772	15.43082	16.75824	22.58907	20.76492	20.61562	21.29044	28.16691	25.37593	28.00444	30.32314	36.87412	30.43386	32.59155	37.02854
9/13/2023 2:25:00 PM	50.1666666666667	72.17568	62.0018	65.32088	72.08556	16.24708	15.01143	15.35135	16.60708	24.63314	21.80736	21.83834	21.89788	30.46066	28.19724	30.60034	32.93943	39.79693	32.74192	35.47446	38.82508
9/13/2023 6:25:00 PM	54.1666666666667	71.63198	61.56704	64.97424	72.86379	15.96339	14.98049	15.31216	16.45284	27.89013	23.4889	23.30849	23.36335	32.71075	31.20661	33.87056	35.82666	39.73858	34.55618	37.31987	39.9375
