Vessel Name: AS_P30
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5
9/11/2023 12:15:00 PM	0	1211439	1187703	1231744	1254147	1168527	1098931	1281003	1062980	1270502	1179856	1200951	1069594	1269223	1194047	1215724	1172372	1279492	1237120	1244404	1316387
9/11/2023 2:25:00 PM	2.16666666666667	1281704	1263841	1311084	1343996	1251316	1191295	1397215	1101389	1371015	1286938	1332020	1105451	1366165	1308139	1334590	1237884	1353389	1335241	1312793	1414558
9/11/2023 6:25:00 PM	6.16666666666667	1462736	1440823	1488881	1576035	1343342	1300379	1517401	1253162	1510654	1410055	1457314	1197971	1563030	1456918	1497671	1360329	1513385	1452661	1484643	1581417
9/11/2023 10:25:00 PM	10.1666666666667	1664867	1610857	1637114	1739870	1550697	1493584	1714883	1391684	1757242	1610240	1687004	1382122	1781214	1702013	1750967	1563664	1744924	1690100	1743146	1842848
9/12/2023 2:25:00 AM	14.1666666666667	1794022	1718165	1816701	1819330	1729482	1609859	1807741	1478340	1905379	1744636	1816561	1511240	1942295	1876363	1922075	1689774	1904830	1821952	1883775	1989049
9/12/2023 6:25:00 AM	18.1666666666667	1808838	1776236	1905330	1852915	1728855	1654656	1867710	1480973	1916472	1776586	1854385	1489152	1980440	1926141	1920055	1748296	1953899	1845091	1882882	1978885
9/12/2023 10:25:00 AM	22.1666666666667	1715001	1702609	1881148	1753385	1701911	1607113	1906971	1496893	1861255	1775506	1875069	1498290	1979863	1870711	1938172	1749436	1908637	1842917	1861823	1921801
9/12/2023 2:25:00 PM	26.1666666666667	1587812	1608276	1835227	1584603	1648188	1561404	1842813	1509251	1863994	1762637	1908331	1518342	1984541	1908313	1974386	1719020	1830736	1858221	1825396	1859959
9/12/2023 6:25:00 PM	30.1666666666667	1557924	1618648	1886546	1563398	1687645	1601642	1918452	1571645	1994479	1880802	2052989	1601954	2055641	1987136	2074820	1788643	1838578	1903178	1902516	1915850
9/12/2023 10:25:00 PM	34.1666666666667	1495470	1579286	1808875	1545338	1732392	1728785	1950972	1674892	2156210	2086388	2278843	1767261	2217918	2244178	2258119	1877642	1963915	2019357	2052440	2038197
9/13/2023 2:25:00 AM	38.1666666666667	1457372	1607382	1791942	1524438	1848884	1810818	2088364	1811555	2321746	2287144	2459400	1985148	2386780	2411025	2383152	1981944	1997049	2062756	2131929	2083525
9/13/2023 6:25:00 AM	42.1666666666667	1488757	1721989	1849142	1553209	1994083	2010618	2247918	1986189	2462898	2480935	2574909	2163414	2397084	2394848	2368911	2027245	1864778	2051918	2065616	1943802
9/13/2023 10:25:00 AM	46.1666666666667	1551101	1884508	1990639	1644648	2225737	2264208	2510395	2194732	2515897	2609711	2681299	2271785	2270111	2328324	2256765	1969929	1699132	1878813	1903931	1731770
9/13/2023 2:25:00 PM	50.1666666666667	1696449	2090463	2130886	1815621	2448281	2515297	2767491	2471868	2449413	2604867	2704293	2351405	2110024	2181892	2099404	1883506	1565812	1689084	1733036	1594062
9/13/2023 6:25:00 PM	54.1666666666667	1787663	2251237	2291177	1963955	2661022	2719095	2985488	2633472	2397235	2551477	2701316	2392284	1957512	2052848	2018125	1768187	1515327	1623911	1635898	1521250
