Vessel Name: AS_P30
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5
9/11/2023 12:15:00 PM	0	25.23295	24.79754	24.72932	26.74266	24.09586	22.49839	25.56215	21.30679	27.13174	24.46454	25.27703	21.85113	26.85959	25.9461	26.13785	24.62207	25.60004	25.87411	26.06422	26.12066
9/11/2023 2:25:00 PM	2.16666666666667	25.97661	25.60096	26.11483	27.6737	25.12011	23.87904	26.72652	21.95738	28.39784	25.71954	26.40452	22.41132	27.5332	27.86377	27.71351	25.70134	26.80057	27.12864	27.61133	27.44679
9/11/2023 6:25:00 PM	6.16666666666667	29.85224	30.66389	30.02711	31.71857	29.95983	27.42682	31.38948	25.7566	33.58293	30.38503	31.92017	26.25886	33.13142	33.17223	33.07127	29.83049	31.96314	32.42294	32.89381	32.40712
9/11/2023 10:25:00 PM	10.1666666666667	36.50809	36.55152	37.16036	37.77572	34.72567	32.3159	36.4378	30.1892	39.7485	35.3221	37.79086	31.04249	39.93374	38.7722	39.33035	35.12081	36.92192	37.67102	38.9519	38.0379
9/12/2023 2:25:00 AM	14.1666666666667	42.36433	42.88873	44.02201	42.483	39.14817	36.12679	41.20895	33.64676	44.5807	39.59648	42.37799	34.53217	44.64519	44.06934	44.07943	39.11572	41.55217	42.97068	44.1971	42.73159
9/12/2023 6:25:00 AM	18.1666666666667	48.19189	50.46428	51.62049	48.10631	42.30605	39.1153	45.72696	37.51074	48.16949	43.62405	46.50393	37.45666	49.10877	47.95016	48.48256	42.94568	45.40939	47.00682	47.27577	46.58488
9/12/2023 10:25:00 AM	22.1666666666667	55.26387	60.00676	61.48668	54.43241	47.22902	44.69856	51.28911	42.70878	55.05651	49.73682	52.43344	41.97247	53.38729	54.54793	54.19288	47.15333	49.95737	51.1999	52.76754	51.93119
9/12/2023 2:25:00 PM	26.1666666666667	61.53471	69.35901	70.83964	61.36948	53.40394	49.39297	57.58725	47.34412	59.57081	55.39219	57.96384	46.25911	58.13472	58.5703	59.0051	50.11385	53.51952	54.67526	57.22839	55.65562
9/12/2023 6:25:00 PM	30.1666666666667	67.37627	78.07063	78.79792	68.84806	57.71839	55.36189	63.62014	52.2305	65.3932	61.92201	64.27467	52.66652	64.07131	65.40683	65.14887	56.30107	59.72283	61.66669	63.80767	62.23931
9/12/2023 10:25:00 PM	34.1666666666667	73.88918	85.77737	85.38465	76.58604	62.11272	60.64254	68.12891	56.86378	70.95367	68.6915	70.89925	58.47913	70.30086	71.35184	72.82682	63.43275	67.06699	68.67735	71.49277	69.5799
9/13/2023 2:25:00 AM	38.1666666666667	80.08676	90.57799	90.39162	83.31061	65.37768	64.25991	71.70558	61.6313	75.28199	73.71944	76.02303	65.42462	76.08083	76.36356	77.95165	68.76361	72.81815	74.49982	77.91134	75.56216
9/13/2023 6:25:00 AM	42.1666666666667	85.04767	93.35025	93.28335	88.5355	68.12717	68.04113	73.65408	65.74633	78.89745	77.68994	79.76078	71.2888	80.07044	80.5877	82.42764	74.53223	78.42809	79.98687	82.32722	80.49875
9/13/2023 10:25:00 AM	46.1666666666667	87.80026	94.06422	94.16281	91.63718	70.66036	70.33065	75.52509	68.30391	81.87156	81.34235	83.73454	75.3377	83.46488	84.70768	86.42171	78.9264	83.56021	84.52251	87.49452	85.62802
9/13/2023 2:25:00 PM	50.1666666666667	89.33469	94.96958	95.03736	93.15019	72.56452	72.14693	77.20022	70.99129	85.12778	85.14088	87.19529	79.72437	87.14552	88.68221	89.30262	84.24272	87.3569	87.78534	90.33203	88.9654
9/13/2023 6:25:00 PM	54.1666666666667	91.32178	95.68137	96.05701	94.14999	74.89967	74.17083	79.5386	73.93303	87.62388	88.10651	89.30499	82.59563	90.03689	90.73159	91.58949	87.05213	89.97751	89.75011	91.53828	90.30367
