Vessel Name: AS_P6
Date Time	Elapsed	A1	B1	C1	D1	A2	B2	C2	D2	A3	B3	C3	D3	A4	B4	C4	D4	A5	B5	C5	D5	A6	B6	C6	D6
2/9/2023 7:13:00 PM	0	4725065	3857480	3683274	4682253	3595156	4020632	2557529	3234116	3326118	2740870	2780446	3506334	3477910	3154701	3088956	3327602	3284492	2642535	2940217	3346044	4814164	4576590	3597702	4755641
2/9/2023 8:15:00 PM	1.03333333333333	5569250	4180679	3896386	4924897	4297166	4762056	2659992	3470533	3758623	3265623	3107670	3809424	4072423	3597470	3376374	3659666	3641301	3117268	3355888	3687732	5643821	5113242	4141506	5380746
2/9/2023 10:54:00 PM	3.68333333333333	4735336	4050875	3803187	4815819	3664208	4038271	2544697	3379544	3287839	2704799	2932741	3624507	3550175	3165385	3068101	3403678	3220874	2742330	2994652	3427440	4834770	4411476	3530273	4752347
2/10/2023 2:54:00 AM	7.68333333333333	6318027	5576105	5110818	6662259	4887022	5488617	3507800	4682496	4432003	3755351	4026688	5010798	4500429	4022132	3842913	4434833	3847563	3300476	3507153	4165770	4603893	4211445	3409362	4515263
2/10/2023 6:54:00 AM	11.6833333333333	7639704	6688465	6144785	7819045	5887857	6498012	4274632	5569674	5325305	4444305	4794089	6094538	5369984	4837691	4697030	5310913	4720621	4027596	4155373	4937473	4809364	4350662	3445726	4598756
2/10/2023 10:54:00 AM	15.6833333333333	7380993	6508687	5952736	7511829	5754331	6141453	4225073	5539735	5133521	4274543	4708303	6021775	5140104	4692381	4507733	5018136	4670733	4016170	4165653	4893128	4585206	4229624	3379825	4447974
2/10/2023 2:01:00 PM	18.8	7012736	6182578	5676173	7232406	5511662	5782982	4167402	5239986	4864569	4066403	4401810	5744694	4797638	4479641	4127957	4739165	4427987	3830354	3851685	4617799	4614409	4068240	3376223	4343800
2/10/2023 6:54:00 PM	23.6833333333333	6517698	6024365	5492715	6885781	5320216	5520372	3929129	5114969	4611725	3767105	4105383	5558664	4404688	4229451	3760014	4499298	4142813	3536250	3657514	4169734	4569237	4140110	3279855	4442862
2/10/2023 8:15:00 PM	25.0333333333333	6486441	6008403	5492506	6795307	5305847	5431968	3932940	5112736	4555101	3735428	4082757	5561180	4389703	4228497	3764233	4482796	4153103	3521285	3647118	4159122	4671865	4195133	3312315	4494626
2/10/2023 10:54:00 PM	27.6833333333333	6301981	6047548	5413341	6699236	5420921	5509702	3992425	5221270	4536843	3717388	4093546	5555699	4417925	4267436	3742440	4523928	4143619	3612642	3722121	4177414	4803387	4358947	3564367	4742808
